Departamento;Nif - Nie;Nombre;Primer apellido;Segundo apellido;Teléfono SMS;Dirección;Correo Electrónico;Nº afiliación;Tutor de
Informática;10511400D;Griffith;Sulivan;Pérez;606520173;847 Graham Avenue, Greenock, Delaware, 5951;paaser3@gmail.com;;2ASR
Informática;77060783L;Tricia;Reeves;Martínez;669442958;Pz San Petesburgo, La Laguna;easportgame@gmail.com;;2DAW
Informática;36369359B;Angelina;Harrington;Smith;973073318;157 Keen Court, Kylertown, North Dakota, 615;chuecaspower@gobiernodecanarias.org;;1DAW
Informática;94181713W;Wilkerson;Harper;Holly;920857151;381 Dictum Court, Turah, Palau, 8143;callme@gmail.com;;
Informática;83301371V;Alexandria;Silva;Cruz;649412636;Calle Catedral, 3, 38204 San Cristóbal de La Laguna, Santa Cruz de Tenerife;breackingall@gmail.com;;
Informática;30352847T;Mckenzie;Delaney;Burks;655427099;San Cristóbal de La Laguna, 38204 San Cristóbal de La Laguna, Santa Cruz de Tenerife;elroarnat@gmail.com;;1ASR
Informática;81951007Y;Crane;Reyes;Harding;607887445;Calle Heraclio Sánchez, 12, 38204 San Cristóbal de La Laguna, Santa Cruz de Tenerife;estracterplua@islasweb.com;;1DAM
Informática;96732682H;Kirk;Ferguson;Mel;973073234;Plaza Doctor Olivera, 6, 38202 San Cristóbal de La Laguna, Santa Cruz de Tenerife;copernicos@wanadoo.es;;3DAM
Informática;92626882V;Rosa;Sánchez;De León;339730733;Calle Juan de Vera, 16, 38201 San Cristóbal de La Laguna, Santa Cruz de Tenerife;;;
Informática;46840146W;Kimberley;Jenkins;Hernández;949973073;Av. Republica de Venezuela, 98, 38206 San Cristóbal de La Laguna, Santa Cruz de Tenerife;reocrdars@gmail.com;;2DAM
Informática;95611381J;Pamela;Nunez;Ruíz;604973073;Calle Dr. Antonio González, 13, 38205 San Cristóbal de La Laguna, Santa Cruz de Tenerife;eradlools@gmail.com;;
